"id","Name","companyId","CreatedBy","CreatedDate","Deleted","Description","EditedBy","EditedDate","EquivCase","EquivLbs","FullPalletCases","GlAcct","HierId","IsGroup","New","NotDealableHigh","NotDealableLow","PackCount","PackSize","ParentId","ProductType","RetailList","Sku","ShipWgt","SlsComm","SortField","Source","SourceCode","SourceId","StdCost","Taxable","UnitMsr","UnitPrice","UpcCode","User1","User2","User3","User4","User5","User6","User7","version"
"1","Tax","NULL","0","NULL","false","Tax","0","NULL","NULL","NULL","NULL","NULL","0","false","false","false","false","NULL","NULL","0","3","NULL","","NULL","NULL","NULL","NULL","NULL","Tax","NULL","false","NULL","0.000000","NULL","NULL","NULL","NULL","NULL","NULL","false","false","0"
"2","Shipping","NULL","0","NULL","false","Freight","0","NULL","NULL","NULL","NULL","NULL","0","false","false","false","false","NULL","NULL","0","3","NULL","","NULL","NULL","NULL","NULL","NULL","Shipping","NULL","false","NULL","0.000000","NULL","NULL","NULL","NULL","NULL","NULL","false","false","0"
"3","Tax2","NULL","0","NULL","false","Tax2","0","NULL","NULL","NULL","NULL","NULL","0","false","false","false","false","NULL","NULL","0","3","NULL","","NULL","NULL","NULL","NULL","NULL","Tax2","NULL","false","NULL","0.000000","NULL","NULL","NULL","NULL","NULL","NULL","false","false","0"
"4","Miscellaneous","NULL","0","NULL","false","Miscellaneous","0","NULL","NULL","NULL","NULL","NULL","0","false","false","false","false","NULL","NULL","0","3","NULL","","NULL","NULL","NULL","NULL","NULL","Miscellaneous","NULL","false","NULL","0.000000","NULL","NULL","NULL","NULL","NULL","NULL","false","false","0"
