"id","Name","companyId","CreatedBy","CreatedDate","Description","DiscountDays","DiscountPercent","DueInDays","EditedBy","EditedDate","DiscountForACHDays","DiscountForACH","version"
"1","Net 15","NULL","NULL","2007-07-18T00:00:00.000","NULL","0","0.000000","15","NULL","2007-07-18T00:00:00.000","0","0.000000","0"
"2","Net 30","NULL","NULL","2007-07-18T00:00:00.000","NULL","0","0.000000","30","NULL","2007-07-18T00:00:00.000","0","0.000000","0"
"3","Due On Receipt","NULL","NULL","2007-07-18T00:00:00.000","NULL","0","0.000000","0","NULL","2007-07-18T00:00:00.000","0","0.000000","0"
